patient,series,view,dice_dense,dice_ensemble
DBT-P00661,9134_43,CC,0.24812684128534676,0.24812684128534676
DBT-P00681,21816_49,CC,0.540996183904498,0.5409963153662163
DBT-P00710,9440_42,CC,0.4934652441151543,0.4934652441151543
DBT-P00722,18879_33,MLO,0.7015277695535602,0.8250164646202686
DBT-P00733,21134_41,MLO,0.47081142806287873,0.5490363566886486
DBT-P00737,3463_45,MLO,0.1523106694775669,0.43828851256225226
DBT-P00754,9340_41,CC,0.5625840800225709,0.6076024533587717
DBT-P00775,13021_43,MLO,0.34521913251732345,0.7125505299878429
DBT-P00785,9776_41,CC,0.7775718097420173,0.7775722460244194
DBT-P00795,21801_37,MLO,0.6392525460477709,0.9244686472460781
DBT-P00822,1779_39,CC,0.9007445244069636,0.9007445244069636
DBT-P00833,14396_46,CC,0.8682004127878431,0.8688386010178444
DBT-P00851,9218_33,MLO,0.7972767551418968,0.8998310274249235
DBT-P00853,20976_45,CC,0.8830119903574383,0.8830119903574383
DBT-P00869,10628_42,MLO,0.16346309052949026,0.3398217973437209
DBT-P00881,19091_40,CC,0.12449556109301982,0.455916759858025
DBT-P00889,809_39,CC,0.8019516888309733,0.8026429853830808
DBT-P00890,13335_36,CC,0.9138073685906984,0.9138075396189276
DBT-P00897,8295_41,MLO,0.575747361641052,0.891841160005392
DBT-P00910,14694_41,CC,0.38682870084167287,0.4334720691316985
DBT-P00933,9242_45,CC,0.9830291995072147,0.9652661445259221
DBT-P00942,16703_41,CC,0.7262939271732687,0.7300377739868753
DBT-P00946,11332_34,CC,0.9309338121599879,0.932179248691025
DBT-P00949,22009_43,CC,0.3929828548151113,0.3929829139302373
DBT-P00964,12458_36,MLO,0.6895392269092476,0.9484893749209468
DBT-P00986,17443_4,MLO,0.592967077670894,0.6974318970027542
DBT-P00992,16516_41,CC,0.7781114746875741,0.7781114746875741
DBT-P00993,19460_38,MLO,0.9251957400505147,0.9322338304574944
DBT-P01017,4998_44,CC,0.6277880751379836,0.6278370977851386
DBT-P01021,19623_41,CC,0.9285946135903922,0.9285948301409087
DBT-P01032,21461_39,CC,0.9272635620297768,0.9273668053320486
DBT-P01035,8563_41,MLO,0.6604060201523576,0.863620233179474
DBT-P00023,19713_36,MLO,0.726535773746684,0.8553317964607668
DBT-P00032,9671_36,MLO,0.5342928893884775,0.8763018958783374
DBT-P00052,2864_36,MLO,0.7179282445770914,0.9004196887345813
DBT-P00076,2878_38,MLO,0.7839548826903048,0.9276235744617167
DBT-P00109,3594_39,MLO,0.7227637718414887,0.8929421792508929
DBT-P00116,5579_33,CC,0.9084372324466692,0.9084383928555162
DBT-P00120,902_37,CC,0.9229726069019927,0.9236190726820527
DBT-P00125,21992_35,MLO,0.7749291318988392,0.9019113226388756
DBT-P00128,22030_44,MLO,0.1133332468887307,0.20500493161597885
DBT-P00140,16206_39,CC,0.8337249293233966,0.8337249293233966
DBT-P00141,21415_35,MLO,0.8648782815332217,0.9227956824711708
DBT-P00152,8000_42,MLO,0.05517176698321711,0.26146746040072516
DBT-P00156,14577_38,MLO,0.8236363583673938,0.8591334138521614
DBT-P00204,6108_41,MLO,0.5734584662687398,0.7547832792849798
DBT-P00209,7108_45,MLO,0.624703138505017,0.7901639992470685
DBT-P00310,12297_36,CC,0.570056918958665,0.5813312786849605
DBT-P00395,5406_37,CC,0.9095485569164483,0.909794853011868
DBT-P00398,15597_40,MLO,0.7475712022405758,0.88572828554987
DBT-P00421,3190_39,MLO,0.48461460120835015,0.6689369055788207
DBT-P00428,3120_45,MLO,0.847542484883844,0.897664852790305
DBT-P00444,14879_38,CC,0.9366847058951805,0.9380100520929604
DBT-P00465,20313_44,CC,0.7586565623402866,0.7586565623402866
DBT-P00491,15051_40,CC,0.79499696079405,0.7949970759955683
DBT-P00499,10439_39,CC,0.9291182935025385,0.9291182935025385
DBT-P00510,15011_41,CC,0.6207881965090033,0.6207881965090033
DBT-P00514,21387_43,MLO,0.09986349304136569,0.2879075172043856
DBT-P00523,14439_47,CC,0.29752869864714504,0.2975301262307
DBT-P00531,9849_46,CC,0.5212957345406469,0.5804103361870665
DBT-P00552,8276_40,CC,0.5890603026625844,0.628378172447774
DBT-P00562,18544_42,CC,0.7937426353144071,0.7937426353144071
DBT-P00610,18138_38,MLO,0.7704123781964113,0.9047409855850845
DBT-P00617,9701_46,MLO,0.012269114640901038,0.05827695222021366
DBT-P00632,6564_37,MLO,0.5534263860798532,0.874711642887957
DBT-P00642,16365_44,CC,0.5166034063077978,0.5166034063077978
DBT-P00661,9135_44,MLO,0.31337087616893616,0.5129762399345655
